sigla progetto,nome del' attore,tipo di relazione
Negozio per esposizioni Leoni (smantellato),Arch. Zita Mosca (fonte Z.M.B.),COP
Appartamento Spadacini (2),Dott. Marco Spadacini,COM
Appartamento Spadacini (2),Arch. Zita  Mosca (fonte Z.M.B.),COP
Appartamento Bernardi,Dott. Giuseppe (detto Giòs) Bernardi,COM
Appartamento Bernardi,Arch. Zita Mosca  (fonte Z.M.B.),COP
Appartamento Bertagnolli Libreria con letto estraibile,Prof. Valerio Bertagnolli,COM
Appartamento Bertagnolli Libreria con letto estraibile,Arch. Zita Mosca (fonte Z.M.B.),COP
Appartamento Spadacini,Dott. Mino Spadacini,COM
Appartamento Spadacini,Arch. Zita Mosca (fonte Bibliografia),COP
Mostra della Seta,Associazione Italiana Fabbricanti di Seterie,COM
Mostra della Seta,Espone i manichini dello scultore Alexander Archipenko acquistati a Berlino e gli scialli piatti del pittore Marcello Nizzoli (fonte Bibliografia),COL
Teatro della Moda Allestimenti scenici e cartello pubblicitario,Casa di Moda Ventura - Titolare Sig. Montano (fonte Bibliografia),COM
Stand D.A.F. (1),"IV Triennale di Milano - Il Direttorio: Dott. Carlo A. Felice, Arch.tti Adriano Alpago Novello e Gio Ponti (fonte Bibliografia)",COM
Stand D.A.F. (2),De Angeli Frua S.A. (Società per l'industria dei Tessuti Stampati),COM
Stand D.A.F. cartello pubblicitario e scenografia sfilata,De Angeli Frua S.A. (Società per l'industria dei Tessuti Stampati) Casa di Moda Ventura,COM
Salone dei Tessuti e allestimento Stand D.A.F.,"V Triennale di Milano - Il Presidente, Dott. Giulio Barella; Il Direttorio: Dott. Carlo A. Felice, Arch. Gio Ponti, Pittore Mario Sironi",COM
"Esposizione Aeronautica Italiana Sala Aviazione civile e Turismo aereo, Sala Fascismo e Aviazione",Esposizione dell'Aeronautica Italiana (Presidente Marcello Visconti di Modrone) - Direttorio della Triennale,COM
"Mostra Nazionale dello Sport Padiglione delle Vendite e Padiglione della Stampa (progetti di ristrutturazione), Sezione Pubblicità (e allestimento)",Mostra Nazionale dello Sport - Presidente Ing. Alberto Bonacossa,COM
"Mostra Nazionale dello Sport Padiglione delle Vendite e Padiglione della Stampa (progetti di ristrutturazione), Sezione Pubblicità (e allestimento)",Invita il pittore Enrico Ciuti,COL
Sezione Tessili,"VI Triennale di Milano - Presidente Dott. Giulio Barella; Il Direttorio: Dott. Carlo A. Felice, Arch. Giuseppe Pagano, Pittore Mario Sironi (fonte Bibliografia)",COM
Sezione Tessili,"Invita i pittori Enrico Ciuti, Marcello Nizzoli e Mario Sironi",COL
Sala Mescita Vini Italiani Padiglione Italiano,Commissariato Generale per l'Italia all'Esposizione Internazionale di Parigi - Commissario Generale Ing. Enrico De Smaele,COM
Sala Mescita Vini Italiani Padiglione Italiano,"Invita i pittori Bramante Buffoni, Leonardo Spreafico, Mentore, Marcello Nizzoli (pannelli decorativi) e gli scultori Luigi Broggini e Carlo Conte",COL
"Atrio, Scalone d'Onore e Vestibolo superiore e sistemazione decorativa dei viali d'accesso  (allestimento IX Triennale ad Oslo)","IX Triennale di Milano - Presidente On. Ivan Matteo Lombardo; La Giunta Esecutiva: Arch.tti Franco Albini, Luciano Baldessari e Gio Ponti, Pittori Marcello Nizzoli e Adriano di Spilimbergo, Prof. Elio Palazzo (fonte Bibliografia)",COM
"Atrio, Scalone d'Onore e Vestibolo superiore e sistemazione decorativa dei viali d'accesso  (allestimento IX Triennale ad Oslo)","Ing. Marcello Grisotti Arch. Cesare Lacca: tre divani, due verdi uno bleu Invita gli artisti Giuseppe Ajmone: pittura murale; Bruno Calvani: altorilievo; Neto Campi: ceramica smaltata; Carmelo Cappello: ceramica a tutto tondo; Bruno Cassinari: decorazione parietale; Carlo Conte: statua; Roberto Crippa: decorazione con vernici fluorescenti; Angelo Del Bon: pittura murale; Gianni Dova: decorazione con vernici fluorescenti; Agenore Fabbri: pannello di terracotta policroma; Lucio Fontana: strisce luminose a soffitto, luce spaziale a soffitto; Emilio Greco: statua; Umberto Milani: sculture sospese; Gastone Pancera: scultura; Lorenzo Pepe: altorilievo; Mario Radice: tarsia di vipla a pavimento; Attilio Rossi: tarsia in vipla a pavimento; Romano Rui: altorilievo; Atanasio Soldati: tarsia in vipla a pavimento; Adriano di Spilimbergo: pittura murale; Vittorio Tavernari: scultura (fonte Bibliografia)",COL
Mostra Risorgimento Mantovano,Attilio Rossi  (fonte Z.M.B.),COP
Mostra Van Gogh,Ente Manifestazioni Milanesi - Presidente della Mostra Prof. Virgilio Ferrari; Presidente Comitato Esecutivo Prof. Caio Mario Cattabeni  (fonte Bibliografia),COM
Mostra Van Gogh,Prof. Ferruccio Maspero e Pittore Nazzareno Pancino: assistenza tecnica (fonte Bibliografia) Arch. I. Parisi: scaffali e vetrine Invita il pittore Attilio Rossi: tarsia a pavimento,COL
Mostra Premio Marzotto Mostra Nazionale della Pittura Contemporanea,Premio Marzzoto,COM
Mostra Rembrandt e il 600 Olandese,Ente Manifestazioni Milanesi - Presidente Comitato Esecutivo Prof. Caio Mario Cattabeni,COM
Mosrtra Arte e Civiltà Etrusca,Ente Manifestazioni Milanesi - Presidente Comitato Esecutivo Prof. Caio Mario Cattabeni,COM
Mostra Amedeo Modigliani,Ente Manifestazioni Milanesi (Presidente Dott. Lino Montagna) - Presidente Comitato Promotore e Giunta Esecutiva Prof. Caio Mario Cattabeni (fonte Bibliografia),COM
Mostra Giovanni Segantini,Comune di Arco,COM
Mostra Giovanni Segantini,Giuseppe Olivotto: assistenza tecnica (fonte Z.M.B.),COL
"Mostra ""Il Cinquantanove""",Comune di Milano,COM
"Mostra ""Il Cinquantanove""",Arch. Maria Pia Matteotti (fonte Elenco coll. L.B.),COL
Mostra Arte Italiana in collezioni U.S.A. Arte Italiana del XX Secolo,Ente Manifestazioni Milanesi - Presidente della Commissione di Palazzo Reale per le Arti Figurative Prof. Caio Mario Cattabeni,COM
Mostra Arte Italiana in collezioni U.S.A. Arte Italiana del XX Secolo,Arch. Maria Pia Matteotti (fonte Elenco coll. L.B.),COL
Mostra Disegno Francese da Fouquet a Toulouse Lautrec,Ente Manifestazioni Milanesi,COM
Mostra Disegno Francese da Fouquet a Toulouse Lautrec,Arch. Maria Pia Matteotti (fonte Elenco coll. L.B.),COL
Stand Siemens,Siemens S.p.A. (Società Italiana Telecomunicazioni),COM
Stand Siemens,Ing. Bandini Buti (Siemens S.p.A.),COL
Stand S.I.V. (in Padiglione Breda),S.I.V. S.p.A. (Società Italiana Vetro) - Direttore Commerciale Ing. G.D. Filogamo,COM
Mostra Girolamo Romanino,Comune di Brescia - Presidente Comitato Esecutivo Prof. Giovanni Vizzoli; Direttore della Mostra Dott. Gaetano Panazza (fonte Bibliografia),COM
Mostra Girolamo Romanino,"Arch. Roberto Innocenti, Dott. Gaetano Panazza",COL
Mostra Collezione Lercaro,S.E. Giacomo Lercaro,COM
Mostra Collezione Lercaro,Arch. Zita Mosca (fonte Z.M.B.),COL
Mostra Lucio Fontana e ristrutturazione Sala delle Cariatidi e delle Colonne,"Comune di Milano (Ripartizione Istituzione Iniziative Culturali e Turismo) Commissione Esecutiva: Gillo Dorfles (Direttore), Tommaso Ferraris, Franco Russoli (fonte Bibliografia)",COM
Mostra Lucio Fontana e ristrutturazione Sala delle Cariatidi e delle Colonne,Arch. Zita Mosca (fonte Z.M.B.),COP
Progetto Personale Luciano Baldessari,Comune di Livorno,COM
Progetto Personale Luciano Baldessari,Arch. Zita Mosca (fonte Z.M.B.),COP
Progetto Mostra Ricerca dell'Identità,"Regione Lombardia - Assessorato alla Cultura, all'Informazione e alla Partecipazione - Assessore Dott. Sandro Fontana",COM
Progetto Mostra Ricerca dell'Identità,Arch. Zita Mosca (fonte Z.M.B.),COP
"Mostra Attilio Rossi ""via Crucis oggi""","Comitato organizzatore: Ente Manifestazioni Mantovane, Comitato Antifascista Mantovano, Regione Lombardia (fonte Bibliografia)",COM
"Mostra Attilio Rossi ""via Crucis oggi""",Arch. Zita Mosca Baldessari (fonte Bibliografia),COP
