sigla progetto,nome del' attore,tipo di relazione
"Complesso industriale Italcima Stabilimento, uffici e villa con direzione lavori e progetto di arredamento, casa del custode con direzione lavori (progetto esposto alla V Triennale di Milano)","Arch. Gio Ponti: stabilimento, uffici e villa",COP
"Complesso industriale Italcima Stabilimento, uffici e villa con direzione lavori e progetto di arredamento, casa del custode con direzione lavori (progetto esposto alla V Triennale di Milano)","Impresa ? Arch. Gio Ponti: Direttore dei Lavori (stabilimento, uffici e villa)",COS
Progetto Casa della Madre e del Bambino (progetto tipo),Opera Nazionale Maternità e Infanzia - Presidente Generale Avv. Sileno Fabbri,COM
Progetto Casa di Cura/albergo,Dott. G. Gomelsky,COM
Progetto Casa di Cura/albergo,? Ing. Capo dell' Ufficio Tecnico Provinciale (Brescia): Direttore dei Lavori,COS
"Club ""Emilio Pensuti"" e arredamento (bombardato e distrutto negli anni quaranta)","Aero Club ""Emilio Pensuti"" - Presidente Ing. Manillo Zerbinati",COM
"Club ""Emilio Pensuti"" e arredamento (bombardato e distrutto negli anni quaranta)",Invita il pittore Marcello Nizzoli,COL
Casa della Madre e del Bambino e arredamento,Opera Nazionale Maternità e Infanzia - Presidente Generale Avv. Sileno Fabbri - Presidente Federazione Provinciale di Brescia Ing. Buffoli,COM
Casa della Madre e del Bambino e arredamento,Ing. Andrea Visioli (Ufficio Tecnico Provinciale): collaborazione tecnica  (fonte Curriculum L.B.) Dott.: Luigi Minguzzi: il giardino,COL
Casa della Madre e del Bambino e arredamento,Impresa F.lli Calderara,COS
Casa della Madre e del Bambino,Opera Nazionale Maternità e Infanzia - Presidente Generale Avv. Sileno Fabbri - Presidente Comitato di Patronato dell'Urbe Prof. Giuseppe Vidau,COM
Casa della Madre e del Bambino,Ing. Raffaele Vespignani: calcolo strutture in c.a.,COL
Casa della Madre e del Bambino,? Ing. Raffaele Vespignani: Direttore dei Lavori,COS
"Progetto Chiesa di San Marco (concorso per la facciata - motto ""A"")","""Comitato pro facciata S. Marco Rovereto"" - Presidente Mons. Virgilio Parteli",COM
Progetto Galleria d'Arte Moderna,Prof. Giorgio Nicodemi (Soprintendente Capo Civici Musei di Milano),COM
Progetto Palazzo per uffici Breda,Finanziaria Ernesto Breda S.p.A.,COM
"Progetto Palazzo E42 (concorso, progetto segnalato)","""Ente Autonomo Esposizione Universale di Roma""",COM
"Progetto Palazzo E42 (concorso, progetto segnalato)",Prof. Leone Lodi,COL
"Progetto Palazzo E42 (concorso, progetto segnalato)",Ing. Ernesto Saliva,COP
Progetto Teatro Regio (concorso per la ricostruzione),Comune di Torino,COM
Mercato Coperto,S.A.R.M.A.S./Costruzioni industriali e civili  (Accomandita Semplice di Arturo Cadario & C),COM
Mercato Coperto,Ing. Marcello Grisotti,COP
Centrale Elettrica (realizzato con pesanti modifiche dalla committenza),Avisio S.p.A. - Direttore Generale Ing. Arrigo De Rizzoli,COM
Centrale Elettrica (realizzato con pesanti modifiche dalla committenza),1955 - Ing. Marcello Grisotti,COL
"Breda (piccole opere) Iscrizioni, cancello, portineria e pensilina",Finanziaria Ernesto Breda S.p.A.,COM
"Ristorante ""Los Gatos"" (ora casa privata)",Roberto Streiff,COM
"Ristorante ""Los Gatos"" (ora casa privata)",Impresa di costruzione Figli fu B. Borradori,COS
Progetto Albergo Domus  (progetto di ampliamento),Walter Ferro,COM
Istituto Tecnico F.lli Fontana,Provincia Autonoma di Trento - Presidente della Giunta Avv. Bruno Kessler,COM
Istituto Tecnico F.lli Fontana,"Arch. Pasquale Bruno, Ing. Renato Marchi",COL
Palazzo per uffici ELV,E.L.V. S.p.A. (Elettromeccanica Lombardo Veneta)  Presidente Dott. Giuseppe Soncini,COM
Palazzo per uffici ELV,Arch. Belisario Duca: calcolo opere in cemento armato,COL
Palazzo per uffici ELV,Arch. Augusto Savini,COP
Progetto Azienda di Turismo,Azienda Autonoma di Turismo di Rovereto  Presidente Geom. Giulio Baldessari,COM
"Progetto Night-Club ""El Coche""",Dott. Silvio Leoni e Roberto Streiff,COM
"Progetto Night-Club ""El Coche""",Arch. Zita Mosca (fonte Z.M.B.),COP
"Autocentro Fiat (Concessionaria automobili Fiat, ora supermercato)",Antonio Leoni S.A. - Presidente Dott. Silvio Leoni,COM
"Autocentro Fiat (Concessionaria automobili Fiat, ora supermercato)",Arch. Zita Mosca (fonte bibliografia),COP
Progetto Museo Studi Futuristi (ristrutturazione Palazzo ex Parolari),Comune di Rovereto Assessore alle Attività Culturali Dott. Gianfranco Zandonati,COM
Progetto Museo Studi Futuristi (ristrutturazione Palazzo ex Parolari),Dott. Pio Ioli: sondaggi geognostici,COL
Progetto Museo Studi Futuristi (ristrutturazione Palazzo ex Parolari),Arch.tti Renzo Aste e Zita Mosca (fonte Z.M.B.),COP
Progetto Casa in via Cadibona,Impresa di Costruzione Giovanni Castigliano,COM
Progetto Casa in via Fulcorina,Dott. Giovanni Rasini,COM
Casa in via Pancaldo,"Società Anonima Immobiliare ""Il Selletto"" Amministratore Unico Dott. Mino Spadacini",COM
